file,ne1,type1,cnt-1,ne2,type2,cnt-2,ne3,type3,cnt-3,ne4,type4,cnt-4,ne5,type5,cnt-5,ne6,type6,cnt-6,ne7,type7,cnt-7,ne8,type8,cnt-8,ne9,type9,cnt-9,ne10,type10,cnt-10,ne11,type11,cnt-11,ne12,type12,cnt-12,ne13,type13,cnt-13,ne14,type14,cnt-14,ne15,type15,cnt-15,ne16,type16,cnt-16,ne17,type17,cnt-17,ne18,type18,cnt-18,ne19,type19,cnt-19,ne20,type20,cnt-20
CTX194100266,7 .,Ordinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100286,L . ARCHÄOLOGISOHES INSTITUT A CHEOLOGICK,Cult/Educational institution,1,23 . - + 1941,Complex time expressions,1,04,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100417,Dolksschule,Cult/Educational institution,1,Ubetznitz,Settlement name (City/Town),1,Obecnici,Settlement name (City/Town),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100441,Hrabek,Surname,1,PS Ptlsen * L - fiHKp 6 B .,Cultural artifact (Book/Painting),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100442,3 .,Ordinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100445,kg,Measure unit,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100448,4,Itemizer (1.),1,9,Itemizer (1.),1,3,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100456,22,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100458,3,Number expression (General),2,Planá,Settlement name (City/Town),1,okres Plzeň,Territorial name (State/Region),1,výzkun,"Directives, norms",1,1931,Year,1,12424,Number expression (General),1,12423,Number expression (General),1,Hradiště,Settlement name (City/Town),1,1941,Year,1,4,Number expression (General),1,2,Number expression (General),1,6,Number expression (General),1,WD,Periodical name (Newspaper/Magazine),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100460,4,Itemizer (1.),1,1941,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100484,1941,Year,1,86,Year,1,9,Number expression (General),1,4,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100522,ARCH AOLOGISOHES INS,Cult/Educational institution,1,1941,Year,1,2.622,Number expression (General),1,11 . 1941,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100526,17 . února 41,Complex time expressions,1,Jana Krt Íčky,Complex personal names,1,České Skalic i,Settlement name (City/Town),1,Větrníku,Cultural artifact (Book/Painting),1,Dr . J . Bohm,Complex personal names,1,17 . II . 1941,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100564,C u 57,Artifact name (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100570,F . H 89,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100577,4934,Number expression (General),1,2,Number expression (General),1,6,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100580,Šousk,Surname,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100583,3,Itemizer (1.),1,2,Number expression (General),1,Wsw K.Pl/rovedena,Organization/Society,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100610,4,Number expression (General),2,44,Number expression (General),1,Xaeicerceiauco 1,Artifact name (General),1,671,Number expression (General),1,7,Number expression (General),1,1941,Year,1,6,Number expression (General),1,1,Itemizer (1.),1,4,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100641,7,Number expression (General),1,SMÍCHOV,Urban geographical name (Street/Square),1,SMETANOVA,Super-terrestrial name (Star/Planet),1,1,Street address,1,412 - 82,Phone/Fax number,1,QLTEVSKE FROUDW - FRNHR,Settlement name (City/Town),1,A / / Jažlovic,Settlement name (City/Town),1,Říčansku,Territorial name (State/Region),1,Národního musea za ve vep,Cult/Educational institution,1,L . Hájka,Complex personal names,1,ARCHÄOLOGI ARCHEOLO IL : 1941,Cult/Educational institution,1,1941,Year,1,5000,Cardinal number,1,m 2,Measure unit,1,2 .,Ordinal number,1,3 .,Ordinal number,1,10,Cardinal number,1,8,Cardinal number,1,Kr .,Ordinal number,1,12 .,Ordinal number,1
CTX194100646,Domažlice,Settlement name (City/Town),2,7,Number expression (General),2,DOMAŽLICÍCH,Settlement name (City/Town),1,Prokop Holý,Complex personal names,1,22 . února 1941,Complex time expressions,1,PRAZE,Settlement name (City/Town),1,Hnidousích,Settlement name (City/Town),1,Budči,Settlement name (City/Town),1,Libušině,Settlement name (City/Town),1,Třebusic,Settlement name (City/Town),1,Domažlic,Settlement name (City/Town),1,Dr Neustup ný,Complex personal names,1,Zahořan,Settlement name (City/Town),1,4,Number expression (General),1,DOMAŽLICE,Settlement name (City/Town),1,JIRÁSKOVA,Super-terrestrial name (Star/Planet),1,118,Street address,1,,,0,,,0,,,0
CTX194100680,LCollo - dne 25 : -,Complex bibliographic expression,1,1941,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100684,Avy 1,Artifact name (General),1,Štáhlavice,Settlement name (City/Town),1,okres Plzeň,Territorial name (State/Region),1,Hájek,Geographical name (General),1,12681,Number expression (General),1,Nuseur PlzeŇ,Cultural artifact (Book/Painting),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100690,95,Year,1,2 . 1941,Complex time expressions,1,Plzeň,Territorial name (State/Region),1,Museum Plzeň,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100892,41,Number expression (General),2,Klatov,Settlement name (City/Town),2,Správa obecné školy chlapecké,Cult/Educational institution,1,1,Number expression (General),1,159,Number expression (General),1,8 . března 1941,Complex time expressions,1,Hradiště u Řakomě,Settlement name (City/Town),1,792,Number expression (General),1,3 / III 1941,Complex time expressions,1,10 . UL 1941,Complex time expressions,1,7,Number expression (General),1,Archeologickém ústavu,Cult/Educational institution,1,Praze,Settlement name (City/Town),1,111,Number expression (General),1,347,Number expression (General),1,Řakomě,Settlement name (City/Town),1,Dolan,Settlement name (City/Town),1,Dra Karla Hostaše v Klatovech,Cult/Educational institution,1,6,Number expression (General),1,p.Franti ška Pláničky,Complex personal names,1
CTX194100895,1941,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194100934,Kostelecku,Territorial name (State/Region),2,XIV .,Ordinal number,2,XV .,Ordinal number,2,SMÍCHOV,Urban geographical name (Street/Square),1,SMETANOVA,Super-terrestrial name (Star/Planet),1,41282,Phone/Fax number,1,KRALOVE,Settlement name (City/Town),1,7 ni . 1941,Complex time expressions,1,31,Itemizer (1.),1,Kostelce nad Orl .,Settlement name (City/Town),1,Orlice,Hydronym (Bodies of water),1,Klad Kladdo,Territorial name (State/Region),1,Evropy,Continents,1,Kostelci nad Orl .,Settlement name (City/Town),1,min .,Ordinal number,1,XVI .,Ordinal number,1,Ko Konad Orl .,Settlement name (City/Town),1,1920,Year,1,Kostelci n . Orl .,Settlement name (City/Town),1,Musea v Praze,Cult/Educational institution,1
CTX194101016,Krakovanech,Settlement name (City/Town),4,8 . března 1941,Complex time expressions,2,193,Number expression (General),2,Chlumci nad Cidlinou,Settlement name (City/Town),2,Nový sydžov,Settlement name (City/Town),1,Krakovany,Settlement name (City/Town),1,12 . březen 1941,Complex time expressions,1,357 / 41,Number expression (General),1,433,Volu-metric number,1,1941,Year,1,10,Hour,1,Frantičk Festy,Company/Firm,1,150,Number expression (General),1,Nový Bydžov,Settlement name (City/Town),1,Václavem Vytlačí lem,Complex personal names,1,Antonínem Havlem,Complex personal names,1,183,Number expression (General),1,Franti FrantiDobiášem,Complex personal names,1,Krakován,Settlement name (City/Town),1,8,Number expression (General),1
CTX194101023,3,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101030,Praze,Settlement name (City/Town),2,Jičíně,Settlement name (City/Town),2,Jičín,Settlement name (City/Town),1,8 . / II . 1941,Complex time expressions,1,13,Cardinal number,1,194,Cardinal number,1,Prachovské ská Iv,Nature/Landscape name (Mountain/River),1,87,Cardinal number,1,15,Cardinal number,1,22,Cardinal number,1,mm,Measure unit,1,Klepl,Surname,1,KCT,Organization/Society,1,1940,Year,1,Fortně,Geographical name (General),1,Prachovských skalách,Nature/Landscape name (Mountain/River),1,80,Cardinal number,1,cm,Measure unit,1,5457,Number expression (General),1,František Klobouček,Complex personal names,1
CTX194101071,1941,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101072,cm,Measure unit,8,1,Cardinal number,2,15,Cardinal number,2,X,Artifact name (General),2,Roudnice n . L,Settlement name (City/Town),1,27.prosince 1940,Complex time expressions,1,"Dr A.Piffl , jednatel ústavu",Complex personal names,1,ha,Measure unit,1,1.50,Cardinal number,1,m,Measure unit,1,10,Cardinal number,1,XVII .,Ordinal number,1,XVIII .,Ordinal number,1,37,Cardinal number,1,Řipu,Settlement name (City/Town),1,13,Cardinal number,1,km,Measure unit,1,Koštála,Surname,1,Oleška,Settlement name (City/Town),1,16,Cardinal number,1
CTX194101159,mm,Measure unit,14,1927,Year,5,Reg.Bez,First name,4,cm,Measure unit,3,2,Number expression (General),2,3,Number expression (General),2,25,Cardinal number,2,Museum Podersam Literatur,Cult/Educational institution,2,Nr,States/Provinces/Regions,2,80,Cardinal number,2,2005,Year,1,-7 / 59 563,Cardinal number,1,1,Cardinal number,1,PB,Measure unit,1,14,Number expression (General),1,Aeltere Bronzezeit Aunjetitz,Cultural artifact (Book/Painting),1,Pam.arch.XXXV ( 1927 ),Complex bibliographic expression,1,"S . s < , o ff Taf.CIXXX",Complex bibliographic expression,1,4,Number expression (General),1,6,Number expression (General),1
CTX194101178,ZELENKY,Surname,1,DUCHCOV,Settlement name (City/Town),1,1,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101182,488 3496,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101198,Tetínem,Nature/Landscape name (Mountain/River),3,SMÍCHOV,Urban geographical name (Street/Square),1,SMETANOVA,Super-terrestrial name (Star/Planet),1,1,Street address,1,41282,Phone/Fax number,1,Turských mašta Nich,Nature/Landscape name (Mountain/River),1,Poslední síní,Cultural artifact (Book/Painting),1,Poslední sini,Cultural artifact (Book/Painting),1,Šipka,Nature/Landscape name (Mountain/River),1,Moravě,Nature/Landscape name (Mountain/River),1,Českém Krasu,Territorial name (State/Region),1,Larbeta,Surname,1,Poslední síně,Cultural artifact (Book/Painting),1,Je - kyni,Nature/Landscape name (Mountain/River),1,Kačákem,Cultural artifact (Book/Painting),1,Koda,Nature/Landscape name (Mountain/River),1,Cechách,States/Provinces/Regions,1,Turských aštalích,Nature/Landscape name (Mountain/River),1,Prokopské jeskyni,Nature/Landscape name (Mountain/River),1,Dalejském údolí,Nature/Landscape name (Mountain/River),1
CTX194101233,50,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101499,sltoue Twgurullanir Lltyak J Z .,Cultural artifact (Book/Painting),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101503,4,Number expression (General),1,4.4244,Number expression (General),1,06,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101507,Jany Nat A,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101569,1,Itemizer (1.),1,2,Number expression (General),1,4,Number expression (General),1,Yusezun Rlscz,Complex personal names,1,M . PĽZ 6 N .,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101580,PLZEŇ,Settlement name (City/Town),1,KANELOVAN,Surname,1,A . M .,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101603,0,Number expression (General),1,79,Number expression (General),1,68,Number expression (General),1,608,Number expression (General),1,HRADIŠTNÍ,Super-terrestrial name (Star/Planet),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101604,498,Cardinal number,1,4,Cardinal number,1,3,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101609,Kolín,Settlement name (City/Town),2,1300,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101610,Kolín,Settlement name (City/Town),2,N . M .,Complex personal names,1,1273,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101613,JCA Bericht,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101641,Močovice,Settlement name (City/Town),1,Čáslav,Settlement name (City/Town),1,1641 / 41,Number expression (General),1,N . M .236,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101645,HRADČANY,Urban geographical name (Street/Square),1,271,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101646,KRALUPY,Settlement name (City/Town),1,-146 2446,Phone/Fax number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101652,Beroun,Settlement name (City/Town),2,3,Cardinal number,1,1939,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101655,Plzeň,Settlement name (City/Town),1,250,Cardinal number,1,m,Measure unit,1,395,Cardinal number,1,Drahotíně,Nature/Landscape name (Mountain/River),1,bertck J,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101658,m,Measure unit,2,100,Cardinal number,1,Všenic,Settlement name (City/Town),1,Dolní,Super-terrestrial name (Star/Planet),1,Praze,Settlement name (City/Town),1,4 . března 1941,Complex time expressions,1,IC Wschenitz Bz.Rokitzan,Complex personal names,1,200,Cardinal number,1,4 . März 1941,Complex time expressions,1,Dr . K . Žebera,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101660,1,Cardinal number,3,Praha,Settlement name (City/Town),2,5 . . 1941,Complex time expressions,1,2 1 / 7 ’ Soni c & 04,Number expression (General),1,7,Number expression (General),1,4,Number expression (General),1,Třebonice,Settlement name (City/Town),1,Mirešio,Settlement name (City/Town),1,Chabý,Settlement name (City/Town),1,2,Cardinal number,1,Radost,Settlement name (City/Town),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101673,Kolín,Settlement name (City/Town),2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101674,Praha VIII,Settlement name (City/Town),1,Trója,Settlement name (City/Town),1,Praha,Settlement name (City/Town),1,1485,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101677,Praha,Settlement name (City/Town),2,Libeň,Urban geographical name (Street/Square),1,1677 / 41,Number expression (General),1,N . M .3343,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101679,"KolÍn ÚNĚTICKÁ , 7677 , , N . M MJ",Complex Address/Number/Time,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101728,23,Itemizer (1.),1,1941,Year,1,5 4,Volu-metric number,1,1,Volu-metric number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101752,Dr . Škrdle,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101755,158,Number expression (General),1,9,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101758,4,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101760,15 . 1941,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101773,Češova,Settlement name (City/Town),2,Slavhosticům,Settlement name (City/Town),2,Tomáše Svobodu,Complex personal names,2,m,Measure unit,2,Kopidlně,Settlement name (City/Town),2,1773,Number expression (General),1,41,Year,1,Prehistoric Prehistoricústavem Filos.fak.UK,Cult/Educational institution,1,dr.Sl áma,Complex personal names,1,prof.Filipa ze dne 15.12 . 1947,Complex personal names,1,26,Number expression (General),1,1046 / 41,Number expression (General),1,11.12 . 1973,Complex time expressions,1,Češovské valy,Urban geographical name (Street/Square),1,Kozo jedy,Settlement name (City/Town),1,Slavhosticemi,Settlement name (City/Town),1,Vršci,Settlement name (City/Town),1,Labouní,Settlement name (City/Town),1,Češově,Settlement name (City/Town),1,Vršcům,Nature/Landscape name (Mountain/River),1
CTX194101779,Hen,First name,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101818,Praha,Settlement name (City/Town),2,Hloubě tín,Urban geographical name (Street/Square),1,1818 / 41,Number expression (General),1,3,Number expression (General),1,069,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101827,1941,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101833,Benešově,Settlement name (City/Town),2,Benešov,Settlement name (City/Town),2,15.dubna 1941,Complex time expressions,1,Vlašim,Settlement name (City/Town),1,159,Number expression (General),1,41,Number expression (General),1,Plán Karlova,Cultural artifact (Book/Painting),1,Archeologickému ústavu v Praze,Cult/Educational institution,1,15.dubna a to na dvou,Complex time expressions,1,Feuersteinovy,Surname,1,I,Number expression (General),1,II,Number expression (General),1,6,Cardinal number,1,8,Cardinal number,1,8,Hour,1,12,Hour,1,13,Hour,1,17,Hour,1,7033,Number expression (General),1,49.IV,Number expression (General),1
CTX194101834,344,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194101912,Skašově,Settlement name (City/Town),3,Archeologický ústav,Cult/Educational institution,2,MĚSTSKÉ HISTORICKÉ MUSEUM V PLZNI,Cult/Educational institution,1,KOPECKÉHO SADY,Super-terrestrial name (Star/Planet),1,2,Street address,1,403,Number expression (General),1,Skašov,Settlement name (City/Town),1,Plzni,Settlement name (City/Town),1,1941,Year,1,Dr . Frid .,Complex personal names,1,Macháček,Surname,1,Archeologickému ustavu v Praze,Cult/Educational institution,1,4,Cardinal number,1,t,Measure unit,1,22 e dubna,Complex time expressions,1,Okresnímu úřadu v Pře Štici cb,Organization/Society,1,Dr . J . Bčhm,Complex personal names,1,,,0,,,0,,,0
CTX194102227,28 . IV . 1941,Complex time expressions,1,Levém Hradci,Settlement name (City/Town),1,21 . 111.9471,Complex time expressions,1,211741,Cardinal number,1,Archeologického ustavu,Cult/Educational institution,1,21 . III . 1941,Complex time expressions,1,Levý Hradec,Settlement name (City/Town),1,Praha,Settlement name (City/Town),1,J.Va ňkovi,Complex personal names,1,Archeologický ustav,Cult/Educational institution,1,dubnu,Month,1,Levém Hradci,Urban geographical name (Street/Square),1,Bořivoje,Complex personal names,1,Arche logický ústav,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX194102233,Markvartice,Settlement name (City/Town),2,Markvarticemi,Settlement name (City/Town),2,Hřmenínem,Settlement name (City/Town),2,Skuřinou,Settlement name (City/Town),2,OBECNÉ ŠKOLY V MARKYARTICÍCH ‘ POSTA DOLNÍ BOUSOV čis . jedu .,Complex Address/Number/Time,1,Markvartidch,Settlement name (City/Town),1,1931,Year,1,1,Number expression (General),1,1722,Number expression (General),1,10.4 . 1941,Complex time expressions,1,ARCHEOLOGICKÝ Archeologickému ústavu v Praze III .,Cult/Educational institution,1,Vlašská ul .,Super-terrestrial name (Star/Planet),1,č .19,Street address,1,Žižkovy šance,Geographical name (General),1,340,Cardinal number,1,,,0,,,0,,,0,,,0,,,0
CTX194102234,234,Number expression (General),1,1,Number expression (General),1,Praze,Settlement name (City/Town),1,26.IV .,Complex time expressions,1,19311,Number expression (General),1,NÁRODNÍ MUSEUM V PRAZE,Cult/Educational institution,1,Archeologickému ustavu v Praze,Cult/Educational institution,1,Zvánovicemi,Settlement name (City/Town),1,Voděrady,Settlement name (City/Town),1,Čes,States/Provinces/Regions,1,Brodu,Settlement name (City/Town),1,Drem F,Cultural artifact (Book/Painting),1,Prantlem,Surname,1,Jaroslav Neumann,Complex personal names,1,Dvěl,Periodical name (Newspaper/Magazine),1,M . Českém světě,Periodical name (Newspaper/Magazine),1,Havelková,Surname,1,Wanklová,Surname,1,Za pravěké 6,Cultural artifact (Book/Painting),1,14 . V . 1941,Complex time expressions,1
CTX194102271,2,Number expression (General),1,47,Number expression (General),1,77,Number expression (General),1,ANSTALT FOR VOR - UND FRUHGESCHICHTC,Cultural artifact (Book/Painting),1,1222,Number expression (General),1,29 . IV . 1941,Complex time expressions,1,10307 4584 - * 303 28 /,Number expression (General),1,7,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194102311,Zemský úřad v Praze,Organization/Society,2,Praha,Settlement name (City/Town),1,III,Number expression (General),1,Malostranské náměstí,Super-terrestrial name (Star/Planet),1,19,Street address,1,419 - 51,Phone/Fax number,1,12,Volu-metric number,1,1942,Year,1,Praze,Settlement name (City/Town),1,194,Number expression (General),1,Archeologický ústav Sres eekýeh mueef Praha,Cult/Educational institution,1,ARCHEOLOGICKÝ ÚSTAV Nr,Cult/Educational institution,1,1041,Number expression (General),1,2,Number expression (General),1,34,Number expression (General),1,21,Number expression (General),1,4,Number expression (General),1,+,Cardinal number,1,91,Cardinal number,1,90,Number expression (General),1
CTX194102349,1,Cardinal number,2,8 . t . m .,Complex time expressions,1,Úhře tlel,Settlement name (City/Town),1,Ostrožna‘,Geographical name (General),1,ha.Je,Measure unit,1,245,Cardinal number,1,m n . m,Measure unit,1,68,Cardinal number,1,prof.dr .,Complex personal names,1,Zem Zemmuseu v Praze,Cult/Educational institution,1,Chrudimi,Settlement name (City/Town),1,Hrochově Týnci,Settlement name (City/Town),1,Da - šicích,Settlement name (City/Town),1,Kopistovi,Surname,1,ha,Measure unit,1,Josef PíÓ,Complex personal names,1,Prahy,Settlement name (City/Town),1,1901,Year,1,Praze,Settlement name (City/Town),1,Janem Kopistou,Complex personal names,1
CTX194102357,1941,Year,2,ROUDNICE,Settlement name (City/Town),1,H . L . ANSTALT,Complex personal names,1,ARCIICC LOGICKÝ ÚSTAV,Cult/Educational institution,1,23,Number expression (General),1,cm,Measure unit,1,2,Number expression (General),1,MUSEU V ROUDNICIN,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX194102362,cm,Measure unit,3,4,Number expression (General),2,Bohušovicích n . O .,Settlement name (City/Town),2,1936,Year,2,3,Number expression (General),2,1940,Year,2,Roudnici n . L .,Settlement name (City/Town),2,6,Number expression (General),2,8,Number expression (General),2,1941,Year,2,ROUDNICI N . L .,Settlement name (City/Town),2,LCCIT / ÚSTAV,Complex bibliographic expression,1,1747,Year,1,žatevní mlékárny,Company/Firm,1,180,Cardinal number,1,23 . září 1940,Complex time expressions,1,30,Cardinal number,1,200,Cardinal number,1,2,Cardinal number,1,m.Objekt,Measure unit,1
